mean_overlapping_bboxes,class_acc,val_class_acc,loss_rpn_cls,loss_rpn_regr,val_loss_rpn_cls,val_loss_rpn_regr,loss_class_cls,loss_class_regr,val_loss_class_cls,val_loss_class_regr,curr_loss,val_curr_loss,elapsed_time,mAP
15.308,0.612,0.654,1.493,0.179,1.445,0.173,0.655,0.429,0.638,0.385,2.755,2.641,11.77,0.0
16.198,0.653,0.709,1.108,0.163,1.3,0.175,0.633,0.387,0.578,0.363,2.291,2.416,10.946,0.0
16.051,0.699,0.71,1.222,0.174,1.335,0.175,0.607,0.365,0.562,0.34,2.368,2.413,10.633,0.0
15.542,0.645,0.682,1.143,0.16,1.47,0.165,0.669,0.447,0.607,0.402,2.419,2.644,10.66,0.0
15.719,0.655,0.689,1.365,0.158,1.568,0.161,0.658,0.412,0.595,0.382,2.593,2.706,10.644,0.0
16.085,0.674,0.678,1.416,0.156,1.722,0.155,0.617,0.433,0.631,0.392,2.623,2.9,10.585,0.0
