mean_overlapping_bboxes,class_acc,val_class_acc,loss_rpn_cls,loss_rpn_regr,val_loss_rpn_cls,val_loss_rpn_regr,loss_class_cls,loss_class_regr,val_loss_class_cls,val_loss_class_regr,curr_loss,val_curr_loss,elapsed_time,mAP
16.316,0.591,0.589,1.372,0.171,1.679,0.171,0.685,0.439,0.6859999999999999,0.433,2.667,2.97,11.699000000000002,0.0
15.69,0.608,0.612,1.079,0.152,1.696,0.171,0.6679999999999999,0.434,0.667,0.41,2.333,2.945,10.878,0.0
16.259,0.636,0.665,1.256,0.159,1.724,0.16899999999999998,0.643,0.4,0.635,0.394,2.458,2.922,10.652,0.0
14.788,0.588,0.62,1.544,0.168,2.164,0.17600000000000002,0.716,0.454,0.68,0.433,2.882,3.452,10.856,0.0
13.962,0.622,0.639,1.833,0.163,2.2880000000000003,0.17,0.674,0.439,0.6509999999999999,0.407,3.109,3.516,10.865,0.0
15.205,0.652,0.6659999999999999,1.6669999999999998,0.163,2.256,0.166,0.653,0.428,0.629,0.396,2.91,3.447,10.726,0.0
15.499,0.6579999999999999,0.6890000000000001,1.617,0.162,2.126,0.163,0.644,0.425,0.601,0.393,2.8480000000000003,3.284,10.674,0.0
15.658,0.693,0.696,1.435,0.159,2.148,0.16399999999999998,0.613,0.416,0.6,0.391,2.622,3.303,10.658,0.0
15.127,0.6859999999999999,0.682,1.466,0.161,1.92,0.16699999999999998,0.613,0.408,0.633,0.402,2.648,3.1210000000000004,10.486,0.0
15.549,0.7120000000000001,0.7040000000000001,1.4980000000000002,0.158,1.87,0.166,0.573,0.403,0.627,0.383,2.633,3.047,10.627,0.0
16.343,0.638,0.632,1.2990000000000002,0.161,1.297,0.16399999999999998,0.6459999999999999,0.405,0.644,0.397,2.511,2.502,11.534,0.0
16.223,0.652,0.6559999999999999,1.242,0.16399999999999998,1.276,0.168,0.623,0.38799999999999996,0.624,0.374,2.416,2.4419999999999997,10.970999999999998,0.0
16.16,0.642,0.695,1.196,0.158,1.284,0.16899999999999998,0.623,0.374,0.604,0.355,2.351,2.4130000000000003,10.831,0.0
16.594,0.674,0.6859999999999999,1.157,0.162,1.297,0.166,0.598,0.358,0.605,0.359,2.275,2.428,10.704,0.0
15.755999999999998,0.66,0.688,1.042,0.161,1.308,0.172,0.603,0.34700000000000003,0.59,0.34299999999999997,2.1519999999999997,2.4130000000000003,10.634,0.0
16.624000000000002,0.7070000000000001,0.6990000000000001,1.212,0.161,1.3130000000000002,0.16699999999999998,0.5720000000000001,0.34700000000000003,0.591,0.341,2.292,2.412,10.677999999999999,0.0
15.369000000000002,0.696,0.708,1.044,0.162,1.2109999999999999,0.16899999999999998,0.568,0.335,0.575,0.32299999999999995,2.109,2.278,10.637,0.0
17.117,0.71,0.715,1.002,0.16399999999999998,1.235,0.17,0.5820000000000001,0.341,0.569,0.332,2.089,2.306,10.757,0.0
15.884,0.7120000000000001,0.718,1.08,0.163,1.16,0.172,0.562,0.33,0.564,0.316,2.135,2.211,10.687999999999999,0.0
16.660999999999998,0.7140000000000001,0.722,0.982,0.156,1.182,0.17,0.5529999999999999,0.32799999999999996,0.5539999999999999,0.32,2.0180000000000002,2.227,10.720999999999998,0.0
16.197,0.73,0.718,0.9670000000000001,0.161,1.159,0.172,0.535,0.34299999999999997,0.56,0.318,2.005,2.209,10.693,0.0
17.114,0.718,0.718,1.011,0.152,1.226,0.171,0.539,0.313,0.5720000000000001,0.3,2.015,2.269,10.735999999999999,0.0
16.518,0.732,0.748,0.961,0.16699999999999998,1.159,0.16899999999999998,0.5379999999999999,0.33299999999999996,0.541,0.312,1.999,2.181,10.731,0.0
16.482,0.723,0.742,0.871,0.159,1.175,0.174,0.55,0.318,0.53,0.31,1.899,2.189,10.742,0.0
16.695,0.728,0.754,0.894,0.156,1.1440000000000001,0.16699999999999998,0.527,0.305,0.52,0.307,1.882,2.138,10.661,0.0
16.617,0.7440000000000001,0.738,0.9009999999999999,0.158,1.208,0.172,0.522,0.317,0.5379999999999999,0.297,1.8980000000000001,2.215,10.748,0.0
16.759,0.746,0.728,0.915,0.145,1.172,0.16899999999999998,0.521,0.29600000000000004,0.557,0.307,1.876,2.205,10.757,0.0
16.475,0.738,0.738,0.797,0.165,1.2109999999999999,0.16899999999999998,0.512,0.31,0.536,0.284,1.785,2.199,10.673,0.0
16.623,0.746,0.736,0.927,0.155,1.202,0.171,0.514,0.307,0.54,0.303,1.9040000000000001,2.217,10.807,0.0
17.312,0.764,0.731,0.784,0.15,1.168,0.16899999999999998,0.48200000000000004,0.28800000000000003,0.563,0.309,1.704,2.209,10.74,0.0
17.006,0.747,0.75,0.913,0.151,0.994,0.145,0.499,0.296,0.528,0.303,1.859,1.969,11.323,0.0
17.169,0.754,0.74,0.889,0.167,0.96,0.142,0.506,0.296,0.535,0.317,1.858,1.955,10.789,0.0
16.293,0.762,0.75,0.836,0.151,0.989,0.146,0.492,0.296,0.54,0.3,1.776,1.976,10.491,0.0
16.219,0.748,0.736,0.739,0.155,0.94,0.145,0.503,0.288,0.54,0.313,1.685,1.938,10.489,0.0
17.365,0.772,0.736,0.857,0.15,1.019,0.143,0.473,0.296,0.56,0.31,1.776,2.032,10.595,0.0
17.279,0.756,0.728,0.785,0.152,0.908,0.145,0.495,0.297,0.555,0.316,1.729,1.924,10.512,0.0
16.396,0.757,0.732,0.809,0.148,0.867,0.143,0.496,0.286,0.563,0.314,1.739,1.888,10.551,0.0
17.542,0.74,0.732,0.775,0.147,0.903,0.144,0.502,0.29,0.558,0.318,1.714,1.924,10.52,0.0
16.827,0.766,0.741,0.771,0.15,0.982,0.143,0.473,0.284,0.549,0.316,1.678,1.99,10.563,0.0
