mean_overlapping_bboxes,class_acc,loss_rpn_cls,loss_rpn_regr,loss_class_cls,loss_class_regr,curr_loss,elapsed_time,mAP
15.545,0.61,1.334,0.161,0.689,0.419,2.603,10.656,0.0
16.768,0.623,1.379,0.157,0.649,0.38,2.565,9.978,0.0
15.654,0.674,1.357,0.162,0.61,0.358,2.487,9.913,0.0
15.222,0.676,1.188,0.162,0.61,0.351,2.311,9.995,0.0
14.79,0.662,1.179,0.164,0.608,0.346,2.297,9.958,0.0
