mean_overlapping_bboxes,class_acc,loss_rpn_cls,loss_rpn_regr,loss_class_cls,loss_class_regr,curr_loss,elapsed_time,mAP
15.711,0.632,1.369,0.163,0.656,0.381,2.569,12.741,0.0
16.199,0.654,1.269,0.165,0.619,0.36,2.413,12.327,0.0
16.268,0.687,1.073,0.163,0.586,0.338,2.16,12.187,0.0
15.741,0.685,1.235,0.16,0.576,0.344,2.315,12.315,0.0
16.041,0.702,1.163,0.165,0.562,0.33,2.22,12.132,0.0
