mean_overlapping_bboxes,class_acc,val_class_acc,loss_rpn_cls,loss_rpn_regr,val_loss_rpn_cls,val_loss_rpn_regr,loss_class_cls,loss_class_regr,val_loss_class_cls,val_loss_class_regr,curr_loss,val_curr_loss,elapsed_time,mAP
12.743,0.578,0.598,1.432,0.235,1.8090000000000002,0.273,0.675,0.41100000000000003,0.674,0.442,2.753,3.197,4.194,0.0
12.737,0.636,0.616,1.589,0.254,1.5719999999999998,0.256,0.637,0.38,0.652,0.391,2.86,2.8710000000000004,3.968,0.0
12.597000000000001,0.639,0.642,1.179,0.233,1.4580000000000002,0.263,0.6409999999999999,0.371,0.635,0.374,2.424,2.73,3.71,0.0
10.66,0.648,0.662,2.9610000000000003,0.294,3.327,0.284,0.706,0.40700000000000003,0.684,0.397,4.368,4.692,3.845,0.0
10.222000000000001,0.732,0.722,2.992,0.289,3.608,0.29,0.609,0.368,0.621,0.354,4.257,4.873,3.832,0.0
11.677,0.73,0.75,2.8160000000000003,0.275,3.115,0.261,0.583,0.36,0.557,0.33399999999999996,4.034,4.2669999999999995,3.8139999999999996,0.0
10.505999999999998,0.752,0.76,2.6239999999999997,0.273,3.065,0.26,0.5820000000000001,0.348,0.5479999999999999,0.345,3.8280000000000003,4.217,3.761,0.0
12.541,0.67,0.693,1.459,0.24,2.013,0.27,0.614,0.383,0.606,0.379,2.697,3.268,4.277,0.0
12.332,0.666,0.716,1.185,0.22,1.922,0.273,0.616,0.355,0.592,0.37,2.376,3.157,3.986,0.0
12.6,0.7,0.709,1.316,0.228,1.93,0.271,0.588,0.35,0.59,0.362,2.482,3.152,3.753,0.0
12.513,0.692,0.712,1.23,0.237,1.914,0.275,0.59,0.34,0.566,0.355,2.397,3.11,3.781,0.0
12.233,0.681,0.712,1.203,0.234,1.756,0.271,0.594,0.325,0.577,0.344,2.356,2.948,3.755,0.0
12.518,0.706,0.734,1.284,0.228,1.974,0.27,0.568,0.329,0.544,0.349,2.41,3.137,3.772,0.0
12.49,0.712,0.748,1.307,0.227,1.948,0.268,0.557,0.326,0.532,0.35,2.418,3.098,3.756,0.0
11.745,0.726,0.734,1.123,0.224,1.902,0.268,0.556,0.321,0.548,0.339,2.225,3.057,3.789,0.0
12.489,0.74,0.742,0.951,0.223,1.782,0.266,0.547,0.312,0.54,0.333,2.033,2.921,3.734,0.0
12.212,0.759,0.754,0.992,0.226,1.846,0.266,0.508,0.313,0.529,0.335,2.039,2.977,3.764,0.0
