mean_overlapping_bboxes,class_acc,val_class_acc,loss_rpn_cls,loss_rpn_regr,val_loss_rpn_cls,val_loss_rpn_regr,loss_class_cls,loss_class_regr,val_loss_class_cls,val_loss_class_regr,curr_loss,val_curr_loss,elapsed_time,mAP
15.387,0.608,0.604,1.285,0.159,1.624,0.175,0.693,0.409,0.6859999999999999,0.40700000000000003,2.546,2.892,10.809000000000001,0.0
15.28,0.644,0.67,1.412,0.171,1.4680000000000002,0.158,0.637,0.38,0.612,0.365,2.5989999999999998,2.603,10.512,0.0
16.088,0.672,0.682,1.271,0.163,1.55,0.17,0.597,0.349,0.595,0.341,2.38,2.656,10.344000000000001,0.0
16.086,0.6509999999999999,0.6859999999999999,1.171,0.161,1.48,0.159,0.634,0.365,0.5820000000000001,0.349,2.331,2.57,10.177,0.0
16.618,0.6579999999999999,0.696,1.235,0.174,1.605,0.161,0.611,0.355,0.585,0.349,2.375,2.7,10.382,0.0
17.18,0.68,0.7070000000000001,1.2670000000000001,0.165,1.3869999999999998,0.163,0.601,0.35700000000000004,0.564,0.345,2.391,2.46,10.215,0.0
16.755,0.682,0.726,1.175,0.177,1.3840000000000001,0.151,0.594,0.33399999999999996,0.5429999999999999,0.316,2.28,2.3930000000000002,10.221,0.0
15.939,0.7070000000000001,0.738,1.167,0.171,1.4480000000000002,0.16399999999999998,0.563,0.34600000000000003,0.526,0.304,2.247,2.443,10.189,0.0
16.241,0.71,0.741,1.1640000000000001,0.172,1.493,0.156,0.555,0.318,0.527,0.32899999999999996,2.209,2.505,10.27,0.0
16.084,0.7170000000000001,0.732,1.126,0.16,1.4,0.16,0.547,0.324,0.536,0.316,2.158,2.412,10.179,0.0
15.945,0.736,0.743,1.16,0.168,1.422,0.161,0.528,0.317,0.516,0.307,2.173,2.405,10.685,0.0
16.67,0.742,0.747,0.936,0.157,1.399,0.167,0.514,0.311,0.506,0.303,1.918,2.375,9.777,0.0
16.213,0.762,0.746,1.067,0.163,1.342,0.157,0.493,0.301,0.516,0.301,2.024,2.315,9.706,0.0
15.825,0.743,0.749,0.91,0.162,1.352,0.164,0.508,0.318,0.506,0.302,1.897,2.324,9.792,0.0
15.89,0.747,0.765,0.961,0.169,1.215,0.159,0.504,0.297,0.48,0.287,1.931,2.14,9.765,0.0
15.965,0.747,0.761,0.853,0.153,1.284,0.164,0.504,0.291,0.487,0.29,1.801,2.224,9.614,0.0
16.575,0.763,0.746,0.874,0.157,1.244,0.17,0.488,0.288,0.498,0.291,1.807,2.202,9.679,0.0
16.128,0.766,0.751,0.837,0.17,1.309,0.165,0.475,0.29,0.512,0.289,1.772,2.275,9.658,0.0
16.387,0.758,0.765,0.894,0.162,1.252,0.166,0.492,0.301,0.488,0.289,1.849,2.196,9.674,0.0
