mean_overlapping_bboxes,class_acc,val_class_acc,loss_rpn_cls,loss_rpn_regr,val_loss_rpn_cls,val_loss_rpn_regr,loss_class_cls,loss_class_regr,val_loss_class_cls,val_loss_class_regr,curr_loss,val_curr_loss,elapsed_time,mAP
11.748,0.7809999999999999,0.764,1.455,0.226,1.742,0.23600000000000002,0.467,0.26899999999999996,0.484,0.3,2.418,2.762,3.883,0.0
11.992,0.778,0.774,1.4609999999999999,0.226,1.7,0.218,0.47700000000000004,0.28600000000000003,0.499,0.28600000000000003,2.451,2.7030000000000003,3.86,0.0
12.105,0.7879999999999999,0.782,1.245,0.225,1.605,0.218,0.479,0.27399999999999997,0.465,0.281,2.2230000000000003,2.569,3.846,0.0
12.058,0.782,0.762,1.3419999999999999,0.225,1.62,0.231,0.47200000000000003,0.278,0.48100000000000004,0.267,2.3169999999999997,2.5989999999999998,3.8569999999999998,0.0
12.12,0.779,0.787,1.3730000000000002,0.22899999999999998,1.8219999999999998,0.231,0.486,0.289,0.45399999999999996,0.272,2.377,2.779,3.765,0.0
12.415,0.794,0.78,1.166,0.214,1.9609999999999999,0.24100000000000002,0.447,0.272,0.484,0.266,2.099,2.952,3.7060000000000004,0.0
12.027999999999999,0.794,0.75,1.383,0.209,1.724,0.233,0.45799999999999996,0.26899999999999996,0.524,0.29600000000000004,2.319,2.7760000000000002,3.7489999999999997,0.0
12.07,0.78,0.779,1.1520000000000001,0.205,1.591,0.214,0.47200000000000003,0.268,0.496,0.275,2.0980000000000003,2.576,3.833,0.0
12.603,0.7979999999999999,0.7879999999999999,1.078,0.207,1.449,0.214,0.442,0.268,0.45799999999999996,0.282,1.994,2.403,3.786,0.0
12.228,0.782,0.778,1.3659999999999999,0.214,1.565,0.22899999999999998,0.469,0.273,0.479,0.28600000000000003,2.3209999999999997,2.559,3.838,0.0
12.389000000000001,0.804,0.787,1.225,0.198,1.7209999999999999,0.226,0.43200000000000005,0.267,0.483,0.266,2.121,2.695,3.822,0.0
12.421,0.79,0.7659999999999999,1.189,0.217,1.9869999999999999,0.245,0.45799999999999996,0.26899999999999996,0.507,0.265,2.134,3.0039999999999996,3.9010000000000002,0.0
12.265,0.802,0.77,1.247,0.2,1.7369999999999999,0.22699999999999998,0.431,0.26,0.518,0.27899999999999997,2.1390000000000002,2.761,3.9339999999999997,0.0
12.427,0.802,0.7909999999999999,1.157,0.209,1.499,0.21600000000000003,0.442,0.27699999999999997,0.483,0.281,2.086,2.479,3.9419999999999997,0.0
11.788,0.8029999999999999,0.772,1.18,0.21100000000000002,1.5659999999999998,0.21600000000000003,0.433,0.263,0.504,0.272,2.086,2.559,3.8689999999999998,0.0
12.274000000000001,0.794,0.802,1.163,0.204,1.49,0.231,0.43700000000000006,0.256,0.449,0.281,2.06,2.451,3.89,0.0
12.254,0.77,0.78,1.254,0.21,1.582,0.219,0.483,0.279,0.49,0.283,2.226,2.574,4.144,0.0
11.877,0.782,0.79,1.42,0.219,1.728,0.219,0.474,0.272,0.467,0.283,2.385,2.696,3.828,0.0
12.078,0.79,0.782,1.415,0.213,1.409,0.225,0.47,0.272,0.463,0.262,2.369,2.36,3.651,0.0
12.895,0.79,0.784,1.199,0.212,1.7,0.213,0.458,0.266,0.472,0.264,2.135,2.649,3.635,0.0
12.993,0.786,0.808,1.351,0.216,1.735,0.23,0.451,0.275,0.43,0.272,2.293,2.668,3.739,0.0
